title,date,company,location,area,salary,description
DataOps Engineer,28 Jan 2021,Tamr,Sydney,"CBD, Inner West & Eastern Suburbs","$130,000 - $159,999","Tamr DataOps Engineers are highly technical data scientists and engineers who understand all aspects of the business. We know how to pitch the product to anyone from software architects to business executives. Often we’re working on the most challenging problems in the enterprise and we have to dig deep to understand the business value and deliver technical solutions. As the company’s outward-facing, technical resource, the work of the whole group is varied. We build prototypes, direct product development, work with sales on accounts, implement pilot solutions, and deploy full production rollouts. DataOps Engineers are expected to be highly efficient and resourceful when leading these projects.,We are a US Based company but rapidly expanding in APAC, and we are looking for a DOE who thrives working with our existing local partners and customers, as well selling, onboarding and working hand in hand with the next wave of Tamr prospects.,We are looking for someone who loves to write code, and has a genuine interest in being customer-facing. We are building and selling a human-in-the-loop machine learning platform for the enterprise to help companies automatically unify and categorize their data to drive new analytic and operational insight. We are looking for engineers interested in creating front line code to solve real customer problems, ranging from back-end data processing and machine learning, to front end presentation and dashboarding."
Big data engineer,14 Feb 2021,Hydrogen Group Pty Ltd,Sydney,Engineering - Software,Contract/Temp," I am currently working with an international financial services organization who are undertaking a large digital transformation. A key stream of work is the overhaul of their data environment building a new data lake to support a number of key business driven projects., , Hands on Big Data Engineer will be responsible for Data pipeline architecture and Data migration on AWS platform. This position is a 6-months contract with high chances of extension. , , , With both permanent and contract positions available we encourage candidates with skills in the above area to contact the team at Hydrogen for confidential discussions. We are seeking intellectually capable, personable and change driven individuals who want to be part of a market leading consulting organisation. First class communication skills in both the written and verbal form will be required., , , The opportunity to work with world class thought leaders in the digital transformation, Big data, Data science, RPA and AI space. International and local career progression., ,..."
QUT and ABS PhD scholarships in Data Science,4 Feb 2021,,Brisbane,CBD & Inner Suburbs,"$30,000 per annum for three years","The QUT Centre for Data Science and the Australian Bureau of Statistics are partners in a world-leading program of research in data science in the government statistics domain and in the priority areas of agriculture and geospatial statistics.,The ,’s vision is to be a national and global leader in the development of frontier methods for the use of data to benefit our world.,The , is Australia’s national statistical agency providing trusted official statistics on a wide range of economic, social, population and environmental matters.,Applicants will be invited to apply for one of the following projects:,Successful candidates must:,Applicants will be assessed against the Science and Engineering Faculty ,Please submit your application via QUT's Application Portal:,In addition to the required documentation, please include the following in your EOI:,If your EOI is accepted you will be invited to submit a full application including a research proposal to finalise your application.,Applications will close no later than 15 March 2021.,Find out more ,.,Or email Distinguished Professor Kerrie Mengersen, Director, QUT Centre for Data Science at "
Principal Data Scientist,20 Jan 2021,,Melbourne,CBD & Inner Suburbs,base + super + incentive,"SEEK is looking for an experienced statistician or data scientist to provide leadership, mentoring and innovative thinking related to online experimentation. ,The ideal candidate is a thought leader in the area of experimentation methodology, including both the design and analysis of randomised experiments. You will be expected to drive forward projects that aim to improve the methodology used for online experimentation and to explore areas that can improve the scale, speed, and quality of experimentation. Examples of such projects include extensions of group sequential designs, Bayesian continuous monitoring, adaptive trial designs (e.g. multi-arm bandits), or interleaving.,This role will also have responsibility for leading analysts responsible for performing experiments and analyses.,Key Responsibilities,SEEK’s portfolio of diverse businesses make a positive impact on a truly global scale. Our unified purpose helps people live more fulfilling and productive working lives and helps organisations succeed. We create world-class technology solutions to connect more people to relevant employment, education, small business and volunteer opportunities.  ,We have a culture of high-performance in our workplaces and celebrate the diversity of our employees who contribute to the success of our organisation.  ,At SEEK we really value our culture and the way we work together to get stuff done. You will work amongst a group of hard-working, fun and caring people who will support you to have a successful and fulfilling career at SEEK.,Our dedication to fostering a work environment where people feel like they're making a difference every single day has helped us maintain a consistently high ranking in the annual Hewitt Best Employer Award. In other words, people like to come here – and we're proud of that!,At SEEK some of the things we offer are:,Here at SEEK we pride ourselves on harbouring a flexible and inclusive working environment. Should you require any specific supports or adjustments throughout the recruitment process and beyond, please advise us and we will be happy to assist.,For this role, only those candidates with the eligible right to work will be considered"
Client Insight Manager,3 Feb 2021,GFK ANZ PTY LTD,Sydney,North Shore & Northern Beaches,Full Time," ,For over 80 years, GfK has been a reliable and trusted insight partner for the world's biggest companies and leading brands who make a difference in every consumer's life - and we continue to build on this. We connect data, science and innovative digital research solutions to provide answers to key business questions around consumers, markets, brands and media.,We are proud of our heritage and our future: currently we are in the latter stages of a transformational journey from a traditional market research company to a trusted provider of prescriptive data analytics powered by innovative technology.,This is only possible with extraordinary people and this is why we are looking for YOU to help create our future. For our employees as well as for our clients we pursue one goal: Growth from Knowledge!, , ,We have an exciting opportunity in our Market Insights Team, who help our clients answer key business questions in the Technical Consumer Goods industry, translating Point of Sale data into actionable insights.,The ideal candidate will have strong interpersonal skills and use these to truly understand client businesses and challenges. The successful candidate will be able to help drive engagement through delivery of category insights and innovative solutions.,This is a great opportunity for an enthusiastic and self-motivated professional, who wants to progress their career in market research, data and insights, strategic consulting, and who wishes to develop a broad skill set in data analytics, client consulting and stakeholder engagement., , ,We provide our employees with excellent working conditions, on-going support, and the development opportunities that only a successful global company can provide. Your remuneration will be commensurate with your experience. This is not just a job; it is an outstanding career opportunity. The role offers comprehensive on-the-job training and the potential to grow and develop into a long, rewarding career., , ,You'll love working as part of a small energetic team, and can manage multiple tasks in order to meet strict deadlines. Experience in category management and/or specific industry experience in Consumer Electronics, IT, Telecom or Home Appliances, will be highly regarded.,You'll also have:,If you are excited by the sound of this role, please apply by heading over to ,https://gfk.wd3.myworkdayjobs.com/Corporate_Careers/job/Sydney/Account-Executive_R00007585,Please Note: All applications must be submitted via Workday. Applications will not be accepted via seek. , "
Aquaculture Lab Technician & Research Assistant,27 Jan 2021,Aquatic AI,Perth,"CBD, Inner & Western Suburbs","$60,000 - $80,000 + employee share options"," ,Bring your hands-on, curious and scientific mind to this lab role at an exciting aquaculture early-stage company. We have approved funding for a two-year lab-based R&D project focused on evaluating and optimising system components with applied data science and developing novel monitoring and automation strategies. , , , ,We are looking for a driven individual with enthusiasm to work in aquaculture. To apply, please provide your resume and a covering letter. "
Social Media Coordinator,11 Feb 2021,,Sydney,Marketing Assistants/Coordinators,Full Time," ,Better Science. Better Art. Better Outcomes. UM is a creatively driven media agency, blurring the lines between media and innovation, data and content, and science and art. As part of the global IPG Mediabrands network, UM strives to deliver better outcomes by fostering meaningful connections between brands and audiences. , ,Working exclusively on the Australian Government account, you will be involved in high visibility social campaigns across multiple platforms covering content such as health, the environment and travel.  , ,Implement social campaigns across various social media platforms ,Support day-to-day campaign pacing and optimisations  ,Accurate reporting on campaign activity  ,Communicate campaign performance, pacing issues and trends to social executive  ,Develop and maintain strong partnerships with vendors and creative agencies  ,Deliver ad hoc requests to ensure clients are serviced appropriately , ,Bachelor's Degree in a related area or equivalent industry experience ,Internships or Facebook training (bonus, not essential) ,MS Office fluency,A keen interest in, and passion for paid social media ,A proactive team player ,High level communication skills , ,Align with a global media powerhouse ,Inclusive and collaborative company culture ,Wellness initiatives - gym/pool, meditation sessions, EAP ,Culture initiatives - clubs, social drinks, regular events, ping pong/pool tables  , , "
Casual Students/Graduates,19 Jan 2021,,Adelaide,Mining - Operations,Casual/Vacation,"OZ Minerals is a copper-focused, global, modern mining company based in South Australia. Listed on the Australian Securities Exchange (ASX100) OZ Minerals has a growth strategy focused on creating value for all stakeholders,We are working towards being a great Modern Mining Company. The difference between good companies and great companies is their ability to align their people and execute their strategy.,We value each employee and the unique contribution they bring to OZ Minerals. We’re excited to hear your ideas and the contribution you can make to helping us achieve our strategy. In the words of Steve Jobs “It doesn’t make sense to hire smart people and tell them what to do. We hire smart people so they can tell us what to do”. We also genuinely care, we care about our people, our environment, the heritage of the peoples we work with and the communities we operate in.,Our strategy is anchored by stakeholder value and is underpinned by our How We Work Together principles. It outlines what we focus on, how we work, how we create value and how we deliver., ,We are looking for collaborative and innovative students to join the Carrapateena Expansion team and help us on a journey from studies and into execution. These casual roles are flexible and will work in with your schedule and availability during 2021, from half to five days per week, casual part time. Recent Graduates are also encouraged so apply., , , , , ,If the above excites you, and even makes you a little nervous, then we want you to apply! It’s an exciting and transformative time for us; and we need creative, collaborative and great people like you., ,Applications close: "
Client Engagement Manager,1 Feb 2021,UniJobs Global Pty Ltd,Melbourne,Bayside & South Eastern Suburbs,Part Time,"Client Engagement Manager,Brighton, Victoria,Head of Customer Engagement, Part-time, 24 hours per week,Times Higher Education is the company behind the world’s most influential university ranking. With almost five decades of experience as a source of analysis and insight on higher education, we have unparalleled expertise on the trends underpinning university performance globally. Our data and benchmarking tools are used by many of the world’s most prestigious universities to assist them in achieving their strategic goals.,For more information on Times Higher Education please visit http://www.timeshighereducation.com [link removed],This role is perfect for a passionate client-focused individual seeking to join a rapidly growing company. Based in our Melbourne office (headquartered in the UK) this role involves providing customer support and product training to our clients in the APAC region.,The department is very collaborative and works closely with Sales, Product Development, Data Science and Engineering teams. The position will empower you to grow your training skills, exercise your problem solving abilities, and build and maintain strong relationships with clients. ,The company achieves high customer satisfaction levels, and thus the Engagement Manager must possess exceptional interaction and handling skills, clear communication methods, a strong sense of integrity, and a personable nature in order to deliver a superb client experience."
Online Academic Tutor,4 Feb 2021,SavvyPro Education,Sydney,"CBD, Inner West & Eastern Suburbs",Starting at $30 per hour,"Location: This job is remote,Job Type: Part-Time,Students: High school - Graduate students,Subjects/Courses: , (Math, English, Economics, Finance, Information Technology, Computer Science, Physics, Chemistry, Biology, Engineering, Business&Commerce, Statistics, Hospitality Management, Media&Communications, Education, Human Resource, Data Science, Project Management), , , "
Systems Engineer Associate,24 Jan 2021,,Melbourne,CBD & Inner Suburbs,Full Time,"NEC has a century-long history of innovation and for over 50 years in Australia, NEC has built a sophisticated technology and anything-as-a-service company which brings together the best technology and the smartest people driving customer service excellence., ,We now have an outstanding opportunity for a Systems Engineer Associate to join our Public Transport and Intelligent Transport Solutions (ITS) team., ,The Systems Engineer Associate is an entry level role and will work with a cross functional team on multiple ITS solutions.   This is a wide-ranging role which will suit someone with interests in any of the following: public transport technology, IoT, IT systems, data analysis. , ,This role offers the opportunity to build your technical skills through on-the-job learning, working alongside passionate and likeminded people on the next generation of public transport technology., , , , , ,At NEC, we offer an outstanding working environment, fantastic corporate culture and an excellent track record of internal promotions along with continuous learning and development opportunities. We place great emphasis on our staff satisfaction and you will enjoy a wide range of benefits such as flexible work options, paid parental leave, NEC Partner Product Discounts, access to great discounts at many retail providers, health and wellbeing program and much more., ,Please apply now., "
(Junior) Aviation Consultant,15 Feb 2021,TO70 AVIATION,Melbourne,CBD & Inner Suburbs,"$60,000 - $79,999","Do you want to become a top aviation consultant?,To70 delivers high-quality consulting and research services to the global aviation community. With our services, we help aviation and society address the air transport challenges they face. Together with clients, To70 works to provide independent advice, helping them identify and analyse problems, recommending solutions and assisting with their subsequent implementation. Since our establishment 21 years ago, we have built a reputation on integrity, drive, knowledge and innovation., ,To70's experts have extensive experience in the aviation sector. Our experts are renowned for their passion for aviation and their lateral thinking, resulting in innovative and cost-effective outcomes. Our dedicated team of professionals display an unremitting drive to create practical solutions. Our wide range of customers includes airports, airlines, government bodies, research institutions and air navigation service providers., ,We have an open, informal and energetic culture where hard work alternates with fun. We're looking for an enthusiastic and motivated (Junior) Aviation Consultant to grow our team in Australia., ,Your function, ,Your profile,We offer,A salary and contract that match the function of your role and your experience. We will train you and develop you personally and technically to meet the challenges of your future career. Commensurate with your development we will offer you opportunities to become more involved in the project management and business development areas of our business., ,More information?,Call or email Arie van der Eijk  , ,Interested?,Apply online at: https://to70.homerun.co/junior-aviation-consultant-1/en/apply"
Estate Data Analyst,22 Jan 2021,Navartis Pty Limited,Melbourne,CBD & Inner Suburbs,$55k - $72k p.a.,"This national infrastructure EPCM contractor is involved in multiple industries, providing essential services across the infrastructure markets. Due to the current growth, they are currently looking to hire 2 Estate Data Analysts, to be based in their Melbourne CBD office working on Defence projects within their Facilities Maintenance division. ,To be the successful candidate you should possess the following:,The successful candidate would be working on:,To qualify for this position, you will be:,This is an exciting opportunity for a recent graduate/entry level candidate to get their foot in the door with a top organisation working on exiting defence projects and a chance to grow their career. A competive remunration pacakge, fun working environment and career progression opportunities are also on offer. ,If this position is of interest please submit your details using the link provided or call Andy on "
Data Analyst,22 Jan 2021,CANSTAR,Brisbane,CBD & Inner Suburbs,Full Time,
Senior Account Executive Analytics,1 Feb 2021,Nielsen Connect Australia Pty Ltd,Sydney,Ryde & Macquarie Park,"$60,000 - $65,000","Your key responsibilities:,Requirements:,You will possess the following skills:, "
Imaging & Data,21 Jan 2021,GFP Group,Melbourne,Eastern Suburbs,Full Time,"GFP Group is the market leader in graduation services with over 40 years of experience in Australia and is growing through the Asia Pacific region.,This is a fantastic opportunity to join us at GFP in the imaging and data department and become a valuable team member. You will need to be pro-active, have a spark for detail and enjoy working within a team environment.,This role will include the following responsibilities –, ,In this role we are looking for the following abilities to be successful for this role -   , ,If this sounds like you, please apply now. A simple test during your interview process maybe required."
Mapping Developer/Consultant,3 Feb 2021,Bridge Associates APAC Pty Ltd,Sydney,"CBD, Inner West & Eastern Suburbs",Full Time,
